央 视,#genre#
宝塔电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225885/index.m3u8
黄陵电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225886/index.m3u8
子长电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225887/index.m3u8
志丹电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225888/index.m3u8
延川融媒,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225889/index.m3u8
佳县1台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225890/index.m3u8
府谷电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225891/index.m3u8
靖边1台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225892/index.m3u8
神木1台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225893/index.m3u8
米脂电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225895/index.m3u8
长安电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225896/index.m3u8
武功电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225898/index.m3u8
安塞电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225902/index.m3u8
甘泉电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225904/index.m3u8
佛坪电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225905/index.m3u8
CETV-4,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225906/index.m3u8
延长电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225907/index.m3u8
洛川融媒,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225908/index.m3u8
宜川电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225909/index.m3u8
吴起电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225910/index.m3u8
岐山电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225911/index.m3u8
大荔新闻综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225912/index.m3u8
蒲城-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225913/index.m3u8
白水电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225914/index.m3u8
渭南新闻综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225915/index.m3u8
黄龙综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225916/index.m3u8
泾阳电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225917/index.m3u8
太白电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225918/index.m3u8
合阳电视台-1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225919/index.m3u8
白河电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225921/index.m3u8
汉阴电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225922/index.m3u8
宁陕电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225923/index.m3u8
平利电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225924/index.m3u8
旬阳民生文化,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225925/index.m3u8
紫阳综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225928/index.m3u8
凤翔电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225929/index.m3u8
凤翔文化影视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225930/index.m3u8
麟游电视台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225931/index.m3u8
眉县新闻综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225933/index.m3u8
